2023-07-30 19:23:17.704 / [DEBUG] [E-Mp3.main]: test log
2023-07-30 19:23:18.317 / [DEBUG] [E-Mp3.main]: test log
2023-07-30 19:25:11.611 / [DEBUG] [EP3BOT.terminal]: test log
2023-07-30 19:29:57.946 / [DEBUG] [LoggerClass.MainCode]: test log from libs/Logger
2023-07-30 19:48:35.995 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 0 file/s
2023-07-30 19:48:37.194 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 4 file/s
2023-07-30 19:48:38.405 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 1 file/s
2023-07-30 19:48:39.583 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 1 file/s
2023-07-30 19:48:40.815 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 2 file/s
2023-07-30 19:48:41.987 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 3 file/s
2023-07-30 19:48:43.187 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 0 file/s
2023-07-30 19:48:44.359 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 1 file/s
2023-07-30 19:48:45.561 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 1 file/s
2023-07-30 19:48:46.730 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 5 file/s
2023-07-30 19:48:47.887 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 42 file/s
2023-07-30 19:48:48.949 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 3 file/s
2023-07-30 19:48:50.136 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 7 file/s
2023-07-30 19:48:51.276 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 5 file/s
2023-07-30 19:48:52.393 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 1 file/s
2023-07-30 19:48:53.589 / [DEBUG] [E-Mp3.DBMS_COUNTER]: DBMS SPEED : 626 file/s
